date,tactic,state,campaign,impressions,clicks,spend,attributed_revenue
2024-01-01,Search,NY,FB_Search_NY,19024,135,485.26,3114.81
2024-01-01,Search,IL,FB_Search_IL,28651,26,108.1,358.02
2024-01-01,Search,OH,FB_Search_OH,14031,376,1317.27,6941.57
2024-01-01,Search,GA,FB_Search_GA,39618,152,1628.39,3320.27
2024-01-01,Display,NY,FB_Display_NY,23059,62,230.85,595.67
2024-01-01,Video,PA,FB_Video_PA,15935,405,614.31,1522.71
2024-01-01,Video,OH,FB_Video_OH,7619,204,592.05,3442.23
2024-01-01,Video,MI,FB_Video_MI,18496,369,1876.48,11049.09
2024-01-01,Shopping,NY,FB_Shopping_NY,48784,135,368.63,1576.55
2024-01-01,Shopping,NC,FB_Shopping_NC,3103,422,665.13,2398.77
2024-01-01,Shopping,MI,FB_Shopping_MI,38170,458,1449.93,4749.63
2024-01-01,Discovery,FL,FB_Discovery_FL,10150,136,1502.73,7865.08
2024-01-01,Discovery,MI,FB_Discovery_MI,33343,56,1523.78,10920.31
2024-01-01,App Install,CA,FB_App Install_CA,11484,415,1376.94,7681.19
2024-01-01,App Install,IL,FB_App Install_IL,37256,450,1887.74,11480.67
2024-01-01,App Install,PA,FB_App Install_PA,36190,394,570.31,3333.9
2024-01-01,App Install,OH,FB_App Install_OH,29492,90,934.76,7219.06
2024-01-01,App Install,NC,FB_App Install_NC,33806,400,398.37,2978.13
2024-01-02,Search,CA,FB_Search_CA,42874,269,1237.49,3609.81
2024-01-02,Search,PA,FB_Search_PA,22243,260,87.98,666.41
2024-01-02,Search,MI,FB_Search_MI,38182,494,203.58,1301.15
2024-01-02,Display,FL,FB_Display_FL,44237,253,1896.35,5671.55
2024-01-02,Video,OH,FB_Video_OH,5196,183,91.02,484.53
2024-01-02,Video,NC,FB_Video_NC,47389,333,164.8,396.25
2024-01-02,Video,MI,FB_Video_MI,22654,46,1052.6,3863.97
2024-01-02,Shopping,PA,FB_Shopping_PA,31996,423,843.77,2165.07
2024-01-02,Discovery,CA,FB_Discovery_CA,43824,340,241.91,1068.23
2024-01-02,Discovery,FL,FB_Discovery_FL,13465,284,924.8,4190.52
2024-01-02,Discovery,IL,FB_Discovery_IL,17371,457,1850.37,8620.47
2024-01-02,Discovery,GA,FB_Discovery_GA,36427,438,78.78,201.64
2024-01-02,Discovery,MI,FB_Discovery_MI,27634,258,988.65,7106.31
2024-01-02,App Install,NY,FB_App Install_NY,1141,209,567.15,3802.39
2024-01-02,App Install,NC,FB_App Install_NC,20445,121,1938.98,10616.09
2024-01-03,Search,NY,FB_Search_NY,39284,254,1030.56,7333.78
2024-01-03,Search,TX,FB_Search_TX,34281,51,1710.12,4123.31
2024-01-03,Search,FL,FB_Search_FL,16414,216,283.78,2083.43
2024-01-03,Search,IL,FB_Search_IL,39962,30,1257.79,5679.38
2024-01-03,Search,NC,FB_Search_NC,47936,170,515.44,2254.89
2024-01-03,Display,CA,FB_Display_CA,21720,485,1516.14,3692.18
2024-01-03,Display,IL,FB_Display_IL,14969,269,567.14,4310.02
2024-01-03,Display,NC,FB_Display_NC,36600,370,639.91,5057.27
2024-01-03,Video,IL,FB_Video_IL,9800,145,275.09,726.84
2024-01-03,Video,OH,FB_Video_OH,40638,117,1449.34,4669.18
2024-01-03,Video,NC,FB_Video_NC,33016,138,1815.41,12846.94
2024-01-03,Video,MI,FB_Video_MI,28759,434,589.53,1191.59
2024-01-03,Shopping,TX,FB_Shopping_TX,49577,236,1125.78,5140.43
2024-01-03,Shopping,FL,FB_Shopping_FL,5931,493,1772.06,13155.0
2024-01-03,Shopping,GA,FB_Shopping_GA,9352,31,651.1,4814.19
2024-01-03,Discovery,NY,FB_Discovery_NY,17353,351,250.45,1673.16
2024-01-03,Discovery,PA,FB_Discovery_PA,16514,452,366.88,2494.52
2024-01-03,Discovery,OH,FB_Discovery_OH,28020,22,399.75,3016.91
2024-01-03,App Install,NY,FB_App Install_NY,11433,413,1417.49,6088.48
2024-01-03,App Install,TX,FB_App Install_TX,31847,123,439.17,3298.46
2024-01-03,App Install,OH,FB_App Install_OH,44255,108,827.01,3036.46
2024-01-03,App Install,GA,FB_App Install_GA,19292,189,1300.89,5721.4
2024-01-04,Search,NY,FB_Search_NY,18118,101,1182.15,9340.53
2024-01-04,Search,TX,FB_Search_TX,40096,232,724.09,4864.85
2024-01-04,Search,PA,FB_Search_PA,38787,107,546.71,3418.41
2024-01-04,Search,OH,FB_Search_OH,36287,361,1452.89,9373.6
2024-01-04,Search,MI,FB_Search_MI,44531,481,693.89,2694.72
2024-01-04,Display,OH,FB_Display_OH,9341,108,869.87,6647.71
2024-01-04,Video,TX,FB_Video_TX,19803,117,888.28,4867.7
2024-01-04,Video,OH,FB_Video_OH,32010,416,1807.3,12246.55
2024-01-04,Video,GA,FB_Video_GA,6557,155,1055.13,6117.28
2024-01-04,Shopping,TX,FB_Shopping_TX,14050,85,97.63,338.68
2024-01-04,Shopping,PA,FB_Shopping_PA,28160,463,1278.04,4047.06
2024-01-04,Shopping,NC,FB_Shopping_NC,43995,362,60.81,395.63
2024-01-04,Discovery,CA,FB_Discovery_CA,28862,122,392.98,3044.72
2024-01-04,Discovery,TX,FB_Discovery_TX,17331,479,1704.26,8076.08
2024-01-04,App Install,GA,FB_App Install_GA,17203,440,1293.44,8530.08
2024-01-05,Search,CA,FB_Search_CA,6077,375,607.17,2204.2
2024-01-05,Search,FL,FB_Search_FL,16155,206,1403.2,8753.9
2024-01-05,Search,IL,FB_Search_IL,27712,179,1108.09,4980.48
2024-01-05,Search,PA,FB_Search_PA,28534,209,1814.44,9987.51
2024-01-05,Display,CA,FB_Display_CA,24052,162,1519.28,10818.29
2024-01-05,Display,OH,FB_Display_OH,15380,149,899.88,1956.47
2024-01-05,Video,CA,FB_Video_CA,31630,480,298.87,1713.61
2024-01-05,Video,NY,FB_Video_NY,26822,313,1150.56,2488.22
2024-01-05,Video,FL,FB_Video_FL,31257,103,148.06,632.88
2024-01-05,Video,IL,FB_Video_IL,22420,182,1534.4,6559.18
2024-01-05,Video,GA,FB_Video_GA,6367,250,87.8,459.75
2024-01-05,Shopping,PA,FB_Shopping_PA,2335,328,347.15,957.19
2024-01-05,Shopping,NC,FB_Shopping_NC,46840,141,1545.45,4646.76
2024-01-05,Discovery,NY,FB_Discovery_NY,11732,169,260.79,561.77
2024-01-05,Discovery,GA,FB_Discovery_GA,46260,435,1273.12,3324.64
2024-01-05,App Install,NY,FB_App Install_NY,38088,410,130.08,675.98
2024-01-05,App Install,FL,FB_App Install_FL,43437,184,74.67,337.54
2024-01-05,App Install,MI,FB_App Install_MI,12543,385,1067.41,6300.63
2024-01-06,Search,GA,FB_Search_GA,6679,152,1769.18,6126.99
2024-01-06,Display,NY,FB_Display_NY,22300,103,1000.72,4131.93
2024-01-06,Display,TX,FB_Display_TX,19327,460,1212.5,8827.8
2024-01-06,Display,PA,FB_Display_PA,16817,378,842.53,4491.6
2024-01-06,Display,OH,FB_Display_OH,32201,340,1438.09,6743.28
2024-01-06,Display,GA,FB_Display_GA,20283,123,838.58,2901.35
2024-01-06,Video,GA,FB_Video_GA,48270,108,665.32,4296.15
2024-01-06,Shopping,CA,FB_Shopping_CA,49405,257,589.17,3262.57
2024-01-06,Shopping,PA,FB_Shopping_PA,24650,101,639.42,3995.18
2024-01-06,Shopping,OH,FB_Shopping_OH,3982,37,1129.05,6982.61
2024-01-06,Shopping,GA,FB_Shopping_GA,33170,62,1751.8,9537.49
2024-01-06,Discovery,CA,FB_Discovery_CA,4367,139,1885.07,9173.48
2024-01-06,Discovery,FL,FB_Discovery_FL,42251,361,154.54,447.42
2024-01-06,Discovery,GA,FB_Discovery_GA,28274,320,1212.45,6923.69
2024-01-06,App Install,NY,FB_App Install_NY,39569,229,645.49,3696.19
2024-01-06,App Install,PA,FB_App Install_PA,14829,145,1337.83,3936.37
2024-01-06,App Install,OH,FB_App Install_OH,5919,90,55.22,259.69
2024-01-06,App Install,NC,FB_App Install_NC,16170,157,1428.56,8882.7
2024-01-07,Display,NY,FB_Display_NY,11873,415,649.84,4219.92
2024-01-07,Display,FL,FB_Display_FL,9149,249,1392.92,8633.89
2024-01-07,Display,GA,FB_Display_GA,3612,465,892.46,3510.86
2024-01-07,Display,NC,FB_Display_NC,6985,127,1925.73,13510.42
2024-01-07,Video,FL,FB_Video_FL,3636,400,1524.72,7353.75
2024-01-07,Video,OH,FB_Video_OH,39360,233,1287.83,6375.22
2024-01-07,Video,GA,FB_Video_GA,23803,219,699.95,4214.27
2024-01-07,Shopping,NY,FB_Shopping_NY,27244,426,1532.97,3403.48
2024-01-07,Shopping,TX,FB_Shopping_TX,17541,175,276.05,1831.65
2024-01-07,Shopping,PA,FB_Shopping_PA,36559,246,855.83,2674.9
2024-01-07,Discovery,CA,FB_Discovery_CA,36993,77,1858.96,8604.57
2024-01-07,Discovery,TX,FB_Discovery_TX,42289,321,1608.66,10068.13
2024-01-07,Discovery,IL,FB_Discovery_IL,27738,57,488.17,3440.81
2024-01-07,Discovery,PA,FB_Discovery_PA,8698,341,1672.68,8347.09
2024-01-07,Discovery,NC,FB_Discovery_NC,32621,251,525.28,2787.95
2024-01-07,App Install,IL,FB_App Install_IL,28193,184,1871.78,9445.82
2024-01-07,App Install,OH,FB_App Install_OH,20566,438,1194.53,9548.36
2024-01-07,App Install,NC,FB_App Install_NC,36296,257,722.99,3840.17
2024-01-08,Search,TX,FB_Search_TX,46711,132,1165.01,3962.62
2024-01-08,Search,IL,FB_Search_IL,49804,252,1425.19,9788.88
2024-01-08,Display,CA,FB_Display_CA,33918,312,697.39,1814.74
2024-01-08,Display,TX,FB_Display_TX,30945,17,1458.77,6505.91
2024-01-08,Display,IL,FB_Display_IL,31768,410,1939.95,7820.64
2024-01-08,Video,PA,FB_Video_PA,5484,130,1280.76,9638.48
2024-01-08,Video,MI,FB_Video_MI,42533,370,1751.53,8165.76
2024-01-08,Shopping,TX,FB_Shopping_TX,4677,160,749.0,3433.52
2024-01-08,Shopping,FL,FB_Shopping_FL,28004,299,1379.51,4249.36
2024-01-08,Shopping,IL,FB_Shopping_IL,40943,455,795.96,4854.42
2024-01-08,Shopping,GA,FB_Shopping_GA,42805,140,946.16,5677.96
2024-01-08,Discovery,CA,FB_Discovery_CA,36821,90,194.03,1488.49
2024-01-08,Discovery,TX,FB_Discovery_TX,28807,363,537.69,3802.46
2024-01-08,Discovery,FL,FB_Discovery_FL,26211,446,992.26,3396.72
2024-01-08,Discovery,GA,FB_Discovery_GA,44137,212,585.24,3157.69
2024-01-08,App Install,CA,FB_App Install_CA,40741,391,1018.62,7563.17
2024-01-08,App Install,NY,FB_App Install_NY,16081,320,1613.77,5348.07
2024-01-08,App Install,TX,FB_App Install_TX,17425,357,1523.38,10061.63
2024-01-08,App Install,IL,FB_App Install_IL,7367,472,1273.54,2848.32
2024-01-08,App Install,OH,FB_App Install_OH,24911,384,306.25,2283.96
2024-01-08,App Install,MI,FB_App Install_MI,36350,458,1944.4,10081.96
2024-01-09,Search,TX,FB_Search_TX,32578,422,625.53,4517.79
2024-01-09,Search,PA,FB_Search_PA,15785,450,1368.83,8276.55
2024-01-09,Search,MI,FB_Search_MI,26858,17,565.69,1550.87
2024-01-09,Display,TX,FB_Display_TX,25970,431,1295.17,5477.07
2024-01-09,Video,IL,FB_Video_IL,3971,494,122.56,977.51
2024-01-09,Video,PA,FB_Video_PA,16387,464,1098.22,4757.33
2024-01-09,Shopping,GA,FB_Shopping_GA,46238,199,473.68,2211.2
2024-01-09,Shopping,NC,FB_Shopping_NC,24768,60,1962.81,8251.67
2024-01-09,Discovery,NY,FB_Discovery_NY,19080,107,1938.0,14911.12
2024-01-09,Discovery,FL,FB_Discovery_FL,14900,338,1297.01,10151.14
2024-01-09,Discovery,IL,FB_Discovery_IL,22856,134,1978.2,13297.21
2024-01-09,Discovery,PA,FB_Discovery_PA,37320,116,1193.45,8208.91
2024-01-09,Discovery,OH,FB_Discovery_OH,10670,413,1806.04,3642.8
2024-01-09,Discovery,NC,FB_Discovery_NC,9519,286,538.78,1641.64
2024-01-09,App Install,CA,FB_App Install_CA,1973,193,1590.47,5451.48
2024-01-09,App Install,TX,FB_App Install_TX,4434,74,1496.35,7715.95
2024-01-09,App Install,GA,FB_App Install_GA,34019,123,1893.56,4279.81
2024-01-10,Search,FL,FB_Search_FL,32390,443,833.15,5096.06
2024-01-10,Search,OH,FB_Search_OH,6294,174,1236.18,2959.53
2024-01-10,Search,GA,FB_Search_GA,42489,309,1119.3,4422.46
2024-01-10,Display,TX,FB_Display_TX,46991,68,1712.95,10115.8
2024-01-10,Display,PA,FB_Display_PA,30593,464,495.56,1998.9
2024-01-10,Display,NC,FB_Display_NC,28968,170,1346.96,5718.93
2024-01-10,Display,MI,FB_Display_MI,32081,44,227.89,572.5
2024-01-10,Video,FL,FB_Video_FL,4930,310,1915.42,10285.99
2024-01-10,Shopping,CA,FB_Shopping_CA,19850,317,659.28,1728.36
2024-01-10,Shopping,TX,FB_Shopping_TX,32600,124,1702.19,6980.13
2024-01-10,Shopping,IL,FB_Shopping_IL,19256,303,491.01,2246.21
2024-01-10,Discovery,FL,FB_Discovery_FL,18909,369,1536.7,11570.15
2024-01-10,Discovery,PA,FB_Discovery_PA,10388,299,1331.82,3219.7
2024-01-10,Discovery,NC,FB_Discovery_NC,35765,120,783.58,3699.96
2024-01-10,Discovery,MI,FB_Discovery_MI,21423,379,682.55,5220.42
2024-01-10,App Install,TX,FB_App Install_TX,41490,35,1364.24,4955.76
2024-01-10,App Install,OH,FB_App Install_OH,34577,68,723.09,1927.27
2024-01-11,Search,NY,FB_Search_NY,40277,38,64.99,247.51
2024-01-11,Search,TX,FB_Search_TX,9993,401,548.26,2175.91
2024-01-11,Search,FL,FB_Search_FL,49956,230,392.6,1680.84
2024-01-11,Search,NC,FB_Search_NC,49630,31,900.63,4285.66
2024-01-11,Search,MI,FB_Search_MI,21516,304,887.1,3926.8
2024-01-11,Display,NY,FB_Display_NY,27544,20,1934.09,5862.69
2024-01-11,Display,GA,FB_Display_GA,29552,311,830.88,2053.83
2024-01-11,Video,CA,FB_Video_CA,12018,49,1045.44,2806.13
2024-01-11,Video,GA,FB_Video_GA,10597,141,434.68,2440.46
2024-01-11,Shopping,CA,FB_Shopping_CA,42153,262,954.71,5138.64
2024-01-11,Discovery,PA,FB_Discovery_PA,31260,241,123.33,519.54
2024-01-11,Discovery,OH,FB_Discovery_OH,43248,452,1955.87,4971.39
2024-01-11,App Install,TX,FB_App Install_TX,38464,343,417.07,2348.1
2024-01-11,App Install,MI,FB_App Install_MI,43344,98,126.33,789.01
2024-01-12,Search,NC,FB_Search_NC,42345,341,702.57,2794.91
2024-01-12,Display,NY,FB_Display_NY,44028,474,1225.27,3556.02
2024-01-12,Display,TX,FB_Display_TX,44490,82,1837.66,7095.91
2024-01-12,Display,PA,FB_Display_PA,47454,490,215.2,1152.09
2024-01-12,Display,NC,FB_Display_NC,47060,434,1896.86,15142.62
2024-01-12,Video,CA,FB_Video_CA,44939,226,1041.55,2197.03
2024-01-12,Video,PA,FB_Video_PA,10015,89,200.47,1416.65
2024-01-12,Video,OH,FB_Video_OH,36374,437,1490.36,7689.03
2024-01-12,Shopping,NY,FB_Shopping_NY,12851,435,1401.05,8053.85
2024-01-12,Shopping,IL,FB_Shopping_IL,24874,356,1453.19,11360.37
2024-01-12,Shopping,NC,FB_Shopping_NC,16674,168,1932.91,12962.55
2024-01-12,Discovery,CA,FB_Discovery_CA,45453,494,1162.32,5397.32
2024-01-12,Discovery,PA,FB_Discovery_PA,14087,420,1229.09,8896.19
2024-01-12,Discovery,OH,FB_Discovery_OH,32495,457,773.86,5885.82
2024-01-12,Discovery,MI,FB_Discovery_MI,6496,400,362.61,1702.78
2024-01-12,App Install,TX,FB_App Install_TX,15551,428,929.7,3809.45
2024-01-12,App Install,FL,FB_App Install_FL,4490,212,1028.91,3513.4
2024-01-12,App Install,OH,FB_App Install_OH,7493,439,1443.67,5791.65
2024-01-12,App Install,GA,FB_App Install_GA,3510,156,1838.92,8890.69
2024-01-13,Search,FL,FB_Search_FL,15133,437,341.56,2610.01
2024-01-13,Search,GA,FB_Search_GA,8985,34,514.96,3004.11
2024-01-13,Search,MI,FB_Search_MI,33756,315,1095.3,6343.71
2024-01-13,Display,TX,FB_Display_TX,1102,324,737.99,4002.85
2024-01-13,Display,FL,FB_Display_FL,44792,53,1070.79,4458.39
2024-01-13,Display,NC,FB_Display_NC,31810,32,1289.56,10169.76
2024-01-13,Display,MI,FB_Display_MI,2064,192,1587.61,6459.71
2024-01-13,Video,PA,FB_Video_PA,36783,183,1636.34,4991.72
2024-01-13,Shopping,NY,FB_Shopping_NY,30994,28,622.21,1407.97
2024-01-13,Shopping,TX,FB_Shopping_TX,3746,171,1870.07,9522.98
2024-01-13,Shopping,PA,FB_Shopping_PA,43395,107,607.92,4360.48
2024-01-13,Shopping,OH,FB_Shopping_OH,43974,179,582.77,3960.55
2024-01-13,Discovery,TX,FB_Discovery_TX,46355,264,766.33,5198.56
2024-01-13,Discovery,FL,FB_Discovery_FL,6414,382,877.77,4023.4
2024-01-13,Discovery,PA,FB_Discovery_PA,20252,174,250.07,992.14
2024-01-13,Discovery,OH,FB_Discovery_OH,30223,318,1449.44,4348.14
2024-01-13,App Install,PA,FB_App Install_PA,44986,336,842.11,4276.67
2024-01-13,App Install,GA,FB_App Install_GA,3040,83,1704.91,10346.27
2024-01-13,App Install,MI,FB_App Install_MI,16466,408,1308.07,5458.44
2024-01-14,Search,NY,FB_Search_NY,11055,357,927.35,3918.78
2024-01-14,Search,FL,FB_Search_FL,10023,281,765.55,2975.18
2024-01-14,Search,IL,FB_Search_IL,8434,23,1484.57,7414.31
2024-01-14,Search,GA,FB_Search_GA,18058,370,920.23,7341.79
2024-01-14,Search,NC,FB_Search_NC,33191,112,289.14,2057.82
2024-01-14,Display,TX,FB_Display_TX,45690,442,1973.82,11856.82
2024-01-14,Display,PA,FB_Display_PA,20657,445,357.14,2234.73
2024-01-14,Display,GA,FB_Display_GA,24690,270,487.27,3854.7
2024-01-14,Display,MI,FB_Display_MI,33376,23,753.75,4095.61
2024-01-14,Video,TX,FB_Video_TX,6650,43,653.12,5223.35
2024-01-14,Video,GA,FB_Video_GA,21776,338,194.62,933.21
2024-01-14,Video,MI,FB_Video_MI,37130,337,1196.18,7902.81
2024-01-14,Shopping,CA,FB_Shopping_CA,33955,476,1743.01,12180.77
2024-01-14,Shopping,FL,FB_Shopping_FL,47486,125,724.75,5540.98
2024-01-14,Shopping,OH,FB_Shopping_OH,42619,499,1124.14,3092.54
2024-01-14,Discovery,CA,FB_Discovery_CA,39053,88,383.84,2205.89
2024-01-14,Discovery,IL,FB_Discovery_IL,2859,51,138.65,810.93
2024-01-14,App Install,TX,FB_App Install_TX,20798,257,527.51,3610.34
2024-01-14,App Install,OH,FB_App Install_OH,28238,257,955.66,3861.98
2024-01-14,App Install,GA,FB_App Install_GA,48078,173,1481.69,10615.81
2024-01-14,App Install,MI,FB_App Install_MI,25283,273,1145.22,4483.19
2024-01-15,Search,NY,FB_Search_NY,17247,82,238.78,893.35
2024-01-15,Search,IL,FB_Search_IL,11466,426,688.5,3763.42
2024-01-15,Display,NY,FB_Display_NY,26771,268,941.6,3243.22
2024-01-15,Display,FL,FB_Display_FL,19438,263,1215.16,8575.51
2024-01-15,Display,PA,FB_Display_PA,1535,443,259.62,727.87
2024-01-15,Display,OH,FB_Display_OH,24971,401,836.35,1899.72
2024-01-15,Display,GA,FB_Display_GA,37819,109,756.92,2824.54
2024-01-15,Video,IL,FB_Video_IL,7336,211,777.74,6160.24
2024-01-15,Video,GA,FB_Video_GA,40483,270,832.7,1866.53
2024-01-15,Video,NC,FB_Video_NC,47765,180,1617.73,8276.32
2024-01-15,Video,MI,FB_Video_MI,34784,81,689.53,3915.45
2024-01-15,Shopping,CA,FB_Shopping_CA,41402,388,1693.07,9417.47
2024-01-15,Shopping,OH,FB_Shopping_OH,22708,354,263.73,1186.58
2024-01-15,Discovery,TX,FB_Discovery_TX,43964,410,1945.51,10643.59
2024-01-15,Discovery,FL,FB_Discovery_FL,4365,308,986.88,5077.86
2024-01-15,Discovery,NC,FB_Discovery_NC,38523,495,1416.02,4452.95
2024-01-15,App Install,TX,FB_App Install_TX,33887,406,1242.38,6000.25
2024-01-16,Search,MI,FB_Search_MI,32731,108,1916.81,7042.43
2024-01-16,Display,CA,FB_Display_CA,20504,404,613.56,1990.18
2024-01-16,Display,OH,FB_Display_OH,8987,303,1369.41,5858.58
2024-01-16,Video,NY,FB_Video_NY,19850,499,1442.58,5883.08
2024-01-16,Video,FL,FB_Video_FL,32396,119,444.03,2322.94
2024-01-16,Video,OH,FB_Video_OH,41349,389,1194.32,4126.07
2024-01-16,Shopping,CA,FB_Shopping_CA,28086,179,1448.85,3771.74
2024-01-16,Shopping,TX,FB_Shopping_TX,37067,485,357.99,2118.33
2024-01-16,Shopping,GA,FB_Shopping_GA,19704,340,165.37,1093.46
2024-01-16,Shopping,MI,FB_Shopping_MI,49410,380,1708.15,3798.56
2024-01-16,Discovery,IL,FB_Discovery_IL,27017,413,1016.0,7741.56
2024-01-16,Discovery,NC,FB_Discovery_NC,38221,318,259.24,2047.44
2024-01-16,Discovery,MI,FB_Discovery_MI,43029,288,1072.42,7866.81
2024-01-16,App Install,CA,FB_App Install_CA,34044,249,582.03,3988.6
2024-01-16,App Install,PA,FB_App Install_PA,23092,414,625.3,3780.8
2024-01-16,App Install,OH,FB_App Install_OH,41039,448,1295.52,5742.94
2024-01-17,Search,CA,FB_Search_CA,10215,254,681.02,2375.6
2024-01-17,Search,NY,FB_Search_NY,16435,238,1519.83,11739.45
2024-01-17,Search,IL,FB_Search_IL,43839,194,1400.9,3323.98
2024-01-17,Search,PA,FB_Search_PA,21106,91,840.56,4215.52
2024-01-17,Search,MI,FB_Search_MI,20335,198,1248.52,4138.56
2024-01-17,Display,CA,FB_Display_CA,11039,242,1508.08,8497.19
2024-01-17,Display,OH,FB_Display_OH,17217,358,1521.74,11015.6
2024-01-17,Display,GA,FB_Display_GA,30278,280,1422.34,3511.22
2024-01-17,Display,MI,FB_Display_MI,36890,472,1035.7,5630.28
2024-01-17,Video,CA,FB_Video_CA,22503,447,1064.67,2871.87
2024-01-17,Video,NY,FB_Video_NY,39217,260,227.34,1150.83
2024-01-17,Video,OH,FB_Video_OH,31302,354,1623.48,10292.38
2024-01-17,Shopping,NY,FB_Shopping_NY,23579,368,174.33,1388.51
2024-01-17,Shopping,FL,FB_Shopping_FL,31937,26,609.83,1878.2
2024-01-17,Shopping,IL,FB_Shopping_IL,43042,383,1309.47,5921.64
2024-01-17,Discovery,PA,FB_Discovery_PA,36209,211,1081.24,6884.43
2024-01-17,Discovery,OH,FB_Discovery_OH,1227,397,94.33,357.54
2024-01-17,App Install,NY,FB_App Install_NY,23685,89,587.52,4479.5
2024-01-17,App Install,FL,FB_App Install_FL,44266,224,1249.1,9514.93
2024-01-17,App Install,PA,FB_App Install_PA,5409,61,1208.19,5652.7
2024-01-17,App Install,NC,FB_App Install_NC,3899,215,905.98,4746.02
2024-01-18,Search,NY,FB_Search_NY,19957,129,1640.78,10483.14
2024-01-18,Search,GA,FB_Search_GA,44267,276,481.03,1829.37
2024-01-18,Search,NC,FB_Search_NC,39775,460,1483.66,4526.36
2024-01-18,Display,NY,FB_Display_NY,23571,492,1304.47,5592.15
2024-01-18,Display,PA,FB_Display_PA,13050,396,1098.96,3786.81
2024-01-18,Display,OH,FB_Display_OH,47371,83,1621.26,12140.75
2024-01-18,Video,CA,FB_Video_CA,16915,140,446.51,2625.56
2024-01-18,Video,FL,FB_Video_FL,48486,434,421.44,1521.72
2024-01-18,Video,GA,FB_Video_GA,39507,380,1359.33,4488.64
2024-01-18,Video,NC,FB_Video_NC,22821,165,1916.19,4008.67
2024-01-18,Shopping,NY,FB_Shopping_NY,32386,478,523.06,2942.93
2024-01-18,Shopping,TX,FB_Shopping_TX,16684,292,677.15,2504.34
2024-01-18,Discovery,FL,FB_Discovery_FL,21507,221,139.15,999.69
2024-01-18,Discovery,PA,FB_Discovery_PA,37261,488,1188.86,7513.69
2024-01-18,Discovery,OH,FB_Discovery_OH,13857,178,498.54,2701.44
2024-01-18,Discovery,GA,FB_Discovery_GA,37086,345,1889.76,7607.0
2024-01-18,App Install,PA,FB_App Install_PA,36818,260,408.89,2999.72
2024-01-19,Search,CA,FB_Search_CA,44792,34,1540.46,6892.57
2024-01-19,Search,TX,FB_Search_TX,47345,87,67.83,341.46
2024-01-19,Search,MI,FB_Search_MI,37152,220,73.11,378.45
2024-01-19,Display,CA,FB_Display_CA,19788,18,1029.32,6368.57
2024-01-19,Display,FL,FB_Display_FL,7312,278,340.35,1072.64
2024-01-19,Display,OH,FB_Display_OH,27011,50,777.45,3448.9
2024-01-19,Display,MI,FB_Display_MI,45829,433,1703.34,10087.89
2024-01-19,Video,TX,FB_Video_TX,25855,203,1127.77,2635.24
2024-01-19,Video,FL,FB_Video_FL,12231,52,1024.72,4717.27
2024-01-19,Video,GA,FB_Video_GA,35613,480,132.98,434.63
2024-01-19,Shopping,NY,FB_Shopping_NY,5872,360,1854.89,13718.53
2024-01-19,Shopping,FL,FB_Shopping_FL,21610,18,1924.86,10629.52
2024-01-19,Shopping,GA,FB_Shopping_GA,11646,298,518.92,3636.55
2024-01-19,Discovery,TX,FB_Discovery_TX,46174,380,202.93,1313.54
