date,tactic,state,campaign,impressions,clicks,spend,attributed_revenue
2024-01-01,Search,CA,Google_Search_CA,54572,448,2440.2,6242.19
2024-01-01,Search,TX,Google_Search_TX,44809,235,797.98,1731.0
2024-01-01,Search,FL,Google_Search_FL,12414,80,1804.28,3662.21
2024-01-01,Search,IL,Google_Search_IL,60840,149,533.05,975.74
2024-01-01,Display,CA,Google_Display_CA,74367,766,1804.25,10317.51
2024-01-01,Display,NY,Google_Display_NY,64026,691,198.12,436.74
2024-01-01,Display,TX,Google_Display_TX,10658,70,191.0,1019.71
2024-01-01,Display,FL,Google_Display_FL,26453,529,1444.16,8447.6
2024-01-01,Video,IL,Google_Video_IL,23519,276,1305.82,4819.82
2024-01-01,Video,OH,Google_Video_OH,20394,265,1587.07,5918.38
2024-01-01,Video,GA,Google_Video_GA,28510,758,623.49,1043.11
2024-01-01,Video,NC,Google_Video_NC,49281,748,1094.59,4670.57
2024-01-01,Video,MI,Google_Video_MI,15709,514,2337.55,13702.08
2024-01-01,Shopping,CA,Google_Shopping_CA,21373,360,2073.03,11111.41
2024-01-01,Shopping,TX,Google_Shopping_TX,53208,561,2981.53,12689.65
2024-01-01,Discovery,TX,Google_Discovery_TX,45595,38,1281.28,5537.28
2024-01-01,Discovery,MI,Google_Discovery_MI,43311,625,746.41,2008.7
2024-01-01,App Install,PA,Google_App Install_PA,2561,563,764.74,1910.4
2024-01-01,App Install,GA,Google_App Install_GA,2294,460,238.51,439.46
2024-01-02,Search,TX,Google_Search_TX,42134,634,2023.61,7557.9
2024-01-02,Search,MI,Google_Search_MI,45068,201,1680.68,4035.58
2024-01-02,Display,NY,Google_Display_NY,34190,511,160.0,333.52
2024-01-02,Display,FL,Google_Display_FL,40314,707,845.57,1884.24
2024-01-02,Display,OH,Google_Display_OH,39850,336,2993.87,13807.74
2024-01-02,Display,NC,Google_Display_NC,22390,144,2573.79,3899.23
2024-01-02,Display,MI,Google_Display_MI,37396,203,428.78,1513.92
2024-01-02,Video,CA,Google_Video_CA,72070,496,1581.26,5796.25
2024-01-02,Video,FL,Google_Video_FL,14062,381,611.56,3137.1
2024-01-02,Video,PA,Google_Video_PA,4389,655,2432.69,12333.47
2024-01-02,Video,OH,Google_Video_OH,10314,186,522.86,1161.54
2024-01-02,Shopping,TX,Google_Shopping_TX,53023,794,1353.96,6949.54
2024-01-02,Shopping,PA,Google_Shopping_PA,65363,620,2268.43,4085.56
2024-01-02,Shopping,GA,Google_Shopping_GA,66798,590,2335.43,7573.2
2024-01-02,Shopping,MI,Google_Shopping_MI,7500,57,1413.44,2143.83
2024-01-02,Discovery,CA,Google_Discovery_CA,50829,684,1082.3,5274.93
2024-01-02,Discovery,NY,Google_Discovery_NY,43309,494,347.15,1837.69
2024-01-02,Discovery,IL,Google_Discovery_IL,19795,504,1533.6,9174.94
2024-01-02,Discovery,OH,Google_Discovery_OH,6257,673,1019.49,2960.88
2024-01-02,Discovery,NC,Google_Discovery_NC,15968,76,2823.24,12681.17
2024-01-02,App Install,FL,Google_App Install_FL,56005,96,2927.88,9184.84
2024-01-02,App Install,GA,Google_App Install_GA,39375,355,635.85,1220.1
2024-01-02,App Install,NC,Google_App Install_NC,70806,637,1838.68,3586.45
2024-01-02,App Install,MI,Google_App Install_MI,36629,361,1023.1,2104.29
2024-01-03,Search,TX,Google_Search_TX,8432,303,1003.32,4939.18
2024-01-03,Search,PA,Google_Search_PA,73950,611,2623.87,10383.42
2024-01-03,Search,NC,Google_Search_NC,54907,790,2799.28,8127.76
2024-01-03,Display,CA,Google_Display_CA,45681,295,2249.17,4759.28
2024-01-03,Display,NY,Google_Display_NY,79110,24,409.8,1494.31
2024-01-03,Display,FL,Google_Display_FL,73036,129,866.42,3603.3
2024-01-03,Display,OH,Google_Display_OH,24069,209,1980.61,8042.4
2024-01-03,Display,MI,Google_Display_MI,30628,766,2153.67,4871.95
2024-01-03,Video,IL,Google_Video_IL,70547,299,1772.4,8479.76
2024-01-03,Video,GA,Google_Video_GA,58324,236,1878.45,6101.17
2024-01-03,Video,MI,Google_Video_MI,19853,434,2923.79,9800.39
2024-01-03,Shopping,NY,Google_Shopping_NY,18337,743,1318.65,5825.16
2024-01-03,Shopping,PA,Google_Shopping_PA,35152,727,471.75,1099.0
2024-01-03,Shopping,GA,Google_Shopping_GA,34608,155,2162.1,5489.24
2024-01-03,Shopping,NC,Google_Shopping_NC,8103,768,309.38,1013.59
2024-01-03,Discovery,CA,Google_Discovery_CA,16760,608,108.17,264.58
2024-01-03,Discovery,NY,Google_Discovery_NY,3803,443,410.17,996.09
2024-01-03,Discovery,TX,Google_Discovery_TX,18153,397,1042.82,3493.53
2024-01-03,Discovery,OH,Google_Discovery_OH,21125,231,1228.71,2882.56
2024-01-03,Discovery,MI,Google_Discovery_MI,66082,300,1368.61,3605.6
2024-01-03,App Install,NY,Google_App Install_NY,9810,786,1430.37,4006.22
2024-01-03,App Install,IL,Google_App Install_IL,38612,201,1335.84,2086.52
2024-01-03,App Install,NC,Google_App Install_NC,31401,480,682.68,3677.81
