date,tactic,state,campaign,impressions,clicks,spend,attributed_revenue
2024-01-01,Search,NY,TikTok_Search_NY,24720,144,1324.6,7924.8
2024-01-01,Search,TX,TikTok_Search_TX,10132,158,783.38,1787.73
2024-01-01,Search,FL,TikTok_Search_FL,5379,212,669.4,2878.29
2024-01-01,Search,GA,TikTok_Search_GA,5954,291,315.36,1689.7
2024-01-01,Display,NY,TikTok_Display_NY,18511,172,791.88,4238.21
2024-01-01,Display,OH,TikTok_Display_OH,8929,274,685.42,1548.52
2024-01-01,Video,TX,TikTok_Video_TX,10689,172,515.51,2099.81
2024-01-01,Video,IL,TikTok_Video_IL,26460,10,1414.08,7152.89
2024-01-01,Shopping,GA,TikTok_Shopping_GA,26408,98,1264.48,6066.97
2024-01-01,Shopping,NC,TikTok_Shopping_NC,5001,74,421.45,1986.26
2024-01-01,Shopping,MI,TikTok_Shopping_MI,23667,120,717.53,2151.24
2024-01-01,Discovery,IL,TikTok_Discovery_IL,29442,216,753.15,2533.73
2024-01-01,Discovery,NC,TikTok_Discovery_NC,26717,173,511.95,1946.55
2024-01-02,Search,CA,TikTok_Search_CA,4817,185,525.87,3270.15
2024-01-02,Display,CA,TikTok_Display_CA,14734,193,634.3,1984.0
2024-01-02,Display,IL,TikTok_Display_IL,17215,154,251.86,1737.73
2024-01-02,Display,MI,TikTok_Display_MI,19231,171,151.75,726.43
2024-01-02,Video,FL,TikTok_Video_FL,7833,214,579.88,1349.18
2024-01-02,Shopping,NC,TikTok_Shopping_NC,7199,29,1175.74,2904.14
2024-01-02,Discovery,CA,TikTok_Discovery_CA,27483,263,934.94,2059.28
2024-01-02,Discovery,TX,TikTok_Discovery_TX,11954,69,916.61,4170.11
2024-01-02,App Install,TX,TikTok_App Install_TX,3635,97,546.48,2746.76
2024-01-02,App Install,PA,TikTok_App Install_PA,704,104,95.78,641.65
2024-01-03,Search,CA,TikTok_Search_CA,5518,224,142.91,699.66
2024-01-03,Search,FL,TikTok_Search_FL,7091,238,452.63,2706.07
2024-01-03,Search,PA,TikTok_Search_PA,9787,127,1450.65,3780.37
2024-01-03,Search,OH,TikTok_Search_OH,3350,69,681.9,2110.03
2024-01-03,Search,GA,TikTok_Search_GA,6251,215,546.54,3416.25
2024-01-03,Search,NC,TikTok_Search_NC,11633,49,1359.36,9289.49
2024-01-03,Display,NY,TikTok_Display_NY,15471,171,517.68,1335.06
2024-01-03,Display,NC,TikTok_Display_NC,12173,165,195.72,360.14
2024-01-03,Video,IL,TikTok_Video_IL,25816,6,499.23,3382.83
2024-01-03,Video,PA,TikTok_Video_PA,13052,47,1055.8,2401.75
2024-01-03,Video,NC,TikTok_Video_NC,19320,128,566.51,3363.88
2024-01-03,Shopping,TX,TikTok_Shopping_TX,19595,194,430.79,1406.84
2024-01-03,Shopping,NC,TikTok_Shopping_NC,23642,156,306.87,1925.77
2024-01-03,Discovery,CA,TikTok_Discovery_CA,25071,95,612.04,1945.27
2024-01-03,Discovery,PA,TikTok_Discovery_PA,28555,78,1089.49,3686.69
2024-01-03,App Install,TX,TikTok_App Install_TX,12461,118,309.83,1188.21
2024-01-03,App Install,IL,TikTok_App Install_IL,16293,108,1153.01,2114.47
2024-01-04,Search,CA,TikTok_Search_CA,25766,281,1352.57,3275.24
2024-01-04,Search,TX,TikTok_Search_TX,26265,21,970.49,2487.32
2024-01-04,Search,GA,TikTok_Search_GA,6058,179,1064.53,6753.27
2024-01-04,Video,CA,TikTok_Video_CA,3593,232,581.21,2117.92
2024-01-04,Video,PA,TikTok_Video_PA,24129,40,1472.12,7898.32
2024-01-04,Video,NC,TikTok_Video_NC,2912,285,308.13,1704.23
2024-01-04,Shopping,CA,TikTok_Shopping_CA,17510,197,452.66,1990.68
2024-01-04,Shopping,IL,TikTok_Shopping_IL,27633,156,1394.27,8818.2
2024-01-04,Shopping,PA,TikTok_Shopping_PA,12578,176,869.27,5774.8
2024-01-04,Discovery,NY,TikTok_Discovery_NY,18128,205,294.49,549.0
2024-01-04,Discovery,IL,TikTok_Discovery_IL,27329,98,691.75,3334.92
2024-01-04,Discovery,PA,TikTok_Discovery_PA,22049,70,1467.94,8979.43
2024-01-04,Discovery,MI,TikTok_Discovery_MI,4351,267,1295.29,2466.01
2024-01-04,App Install,CA,TikTok_App Install_CA,21778,117,670.93,1218.93
2024-01-04,App Install,NY,TikTok_App Install_NY,21919,297,35.13,164.74
2024-01-04,App Install,FL,TikTok_App Install_FL,6007,74,764.4,2990.59
2024-01-05,Search,FL,TikTok_Search_FL,4741,242,227.17,864.54
2024-01-05,Search,PA,TikTok_Search_PA,24592,176,657.4,3425.97
2024-01-05,Display,OH,TikTok_Display_OH,27237,90,249.47,908.39
2024-01-05,Display,NC,TikTok_Display_NC,24398,193,619.86,3873.23
2024-01-05,Video,GA,TikTok_Video_GA,29312,59,653.89,3717.0
2024-01-05,Shopping,NY,TikTok_Shopping_NY,16558,66,839.97,4704.04
2024-01-05,App Install,CA,TikTok_App Install_CA,2517,23,1268.26,6316.56
2024-01-05,App Install,PA,TikTok_App Install_PA,14270,256,194.55,440.27
2024-01-05,App Install,NC,TikTok_App Install_NC,25556,24,342.94,753.37
2024-01-06,Search,NY,TikTok_Search_NY,24684,206,809.64,3628.11
2024-01-06,Search,IL,TikTok_Search_IL,2245,174,291.57,1570.27
2024-01-06,Search,PA,TikTok_Search_PA,8809,146,1170.06,7923.36
2024-01-06,Search,GA,TikTok_Search_GA,22272,290,261.74,1275.34
2024-01-06,Display,FL,TikTok_Display_FL,21628,75,881.14,1965.0
2024-01-06,Display,GA,TikTok_Display_GA,27078,295,987.0,5295.7
2024-01-06,Video,NC,TikTok_Video_NC,10371,109,139.02,340.99
2024-01-06,Video,MI,TikTok_Video_MI,23295,168,333.4,1029.45
2024-01-06,Shopping,CA,TikTok_Shopping_CA,19754,174,757.58,1488.36
2024-01-06,Shopping,NY,TikTok_Shopping_NY,1635,85,103.74,333.29
2024-01-06,Shopping,FL,TikTok_Shopping_FL,14187,196,692.54,2515.42
2024-01-06,Shopping,IL,TikTok_Shopping_IL,13834,136,319.71,1534.08
2024-01-06,Discovery,IL,TikTok_Discovery_IL,26250,144,421.05,990.32
2024-01-06,Discovery,OH,TikTok_Discovery_OH,9034,254,1175.9,5742.64
2024-01-06,App Install,CA,TikTok_App Install_CA,17045,59,1280.68,7630.81
2024-01-06,App Install,OH,TikTok_App Install_OH,11017,130,573.48,3928.23
2024-01-06,App Install,GA,TikTok_App Install_GA,3421,262,1334.98,2941.4
2024-01-07,Search,FL,TikTok_Search_FL,23015,215,450.85,2998.92
2024-01-07,Search,IL,TikTok_Search_IL,11095,159,1253.29,4434.74
2024-01-07,Search,GA,TikTok_Search_GA,8713,68,1250.88,4474.08
2024-01-07,Display,NY,TikTok_Display_NY,28683,296,448.2,1949.23
2024-01-07,Display,TX,TikTok_Display_TX,13113,131,1009.62,3019.96
2024-01-07,Display,IL,TikTok_Display_IL,22951,179,1254.8,3949.85
2024-01-07,Display,PA,TikTok_Display_PA,8686,30,643.17,3820.25
2024-01-07,Display,MI,TikTok_Display_MI,4873,188,189.28,527.61
2024-01-07,Video,CA,TikTok_Video_CA,6085,48,1118.11,2015.25
2024-01-07,Video,NY,TikTok_Video_NY,13049,59,746.78,2895.02
2024-01-07,Shopping,CA,TikTok_Shopping_CA,26832,105,669.08,2455.68
2024-01-07,Shopping,NY,TikTok_Shopping_NY,2706,179,1471.37,7218.35
2024-01-07,Shopping,OH,TikTok_Shopping_OH,18483,55,1010.46,5638.94
2024-01-07,Shopping,GA,TikTok_Shopping_GA,19919,173,291.19,1740.02
2024-01-07,Shopping,NC,TikTok_Shopping_NC,9777,64,975.39,2276.32
2024-01-07,Shopping,MI,TikTok_Shopping_MI,9814,143,770.55,2549.76
2024-01-07,Discovery,CA,TikTok_Discovery_CA,23220,115,1228.88,8356.02
2024-01-07,Discovery,OH,TikTok_Discovery_OH,5817,83,38.41,93.25
2024-01-07,Discovery,NC,TikTok_Discovery_NC,20792,159,1338.34,3467.87
2024-01-08,Search,CA,TikTok_Search_CA,29562,68,393.52,1497.36
2024-01-08,Search,NC,TikTok_Search_NC,18841,102,1199.97,6648.4
2024-01-08,Display,NY,TikTok_Display_NY,3853,269,492.53,1238.44
2024-01-08,Display,PA,TikTok_Display_PA,23937,153,299.06,928.17
2024-01-08,Display,NC,TikTok_Display_NC,16117,133,609.97,4087.93
2024-01-08,Video,TX,TikTok_Video_TX,25324,165,392.94,2413.5
2024-01-08,Video,IL,TikTok_Video_IL,15186,222,678.29,1359.72
2024-01-08,Video,OH,TikTok_Video_OH,21858,73,940.05,5269.01
2024-01-08,Discovery,TX,TikTok_Discovery_TX,23049,178,292.36,970.35
2024-01-08,Discovery,FL,TikTok_Discovery_FL,12636,116,1057.47,6756.0
2024-01-08,Discovery,PA,TikTok_Discovery_PA,26657,257,1450.8,3702.63
2024-01-08,Discovery,MI,TikTok_Discovery_MI,27069,153,1331.48,5421.42
2024-01-08,App Install,MI,TikTok_App Install_MI,22047,168,1057.99,3112.15
2024-01-09,Search,CA,TikTok_Search_CA,6749,91,1198.7,5344.66
2024-01-09,Display,IL,TikTok_Display_IL,12532,123,146.24,730.28
2024-01-09,Display,OH,TikTok_Display_OH,22600,223,1032.09,5041.22
2024-01-09,Display,GA,TikTok_Display_GA,24090,168,396.69,2172.64
2024-01-09,Display,NC,TikTok_Display_NC,608,245,1475.61,10303.62
2024-01-09,Video,MI,TikTok_Video_MI,14085,238,585.49,2320.87
2024-01-09,Shopping,CA,TikTok_Shopping_CA,11161,126,833.85,1550.72
2024-01-09,Shopping,NC,TikTok_Shopping_NC,6927,194,886.57,3147.81
2024-01-09,Discovery,PA,TikTok_Discovery_PA,24999,111,999.39,3640.58
2024-01-09,Discovery,NC,TikTok_Discovery_NC,8049,259,483.68,1140.37
2024-01-09,App Install,GA,TikTok_App Install_GA,5164,256,378.91,2421.62
2024-01-09,App Install,NC,TikTok_App Install_NC,28132,73,647.12,3527.27
2024-01-10,Search,IL,TikTok_Search_IL,4171,93,348.22,2121.66
2024-01-10,Search,PA,TikTok_Search_PA,17746,230,122.8,727.06
2024-01-10,Search,MI,TikTok_Search_MI,28405,162,1021.88,5780.71
2024-01-10,Display,FL,TikTok_Display_FL,14364,230,1131.33,7613.35
2024-01-10,Display,IL,TikTok_Display_IL,3373,259,1339.99,3927.21
2024-01-10,Display,GA,TikTok_Display_GA,5807,13,1494.58,6606.21
2024-01-10,Display,MI,TikTok_Display_MI,9000,176,1178.76,5685.89
2024-01-10,Video,NY,TikTok_Video_NY,8477,277,170.42,1016.75
2024-01-10,Video,NC,TikTok_Video_NC,1277,83,477.69,2614.59
2024-01-10,Shopping,NY,TikTok_Shopping_NY,15920,221,122.14,622.79
2024-01-10,Shopping,PA,TikTok_Shopping_PA,28742,149,864.77,4137.5
2024-01-10,Shopping,GA,TikTok_Shopping_GA,21610,70,1445.09,4705.99
2024-01-10,Discovery,CA,TikTok_Discovery_CA,13979,162,478.99,1122.4
2024-01-10,Discovery,OH,TikTok_Discovery_OH,11517,154,192.47,468.51
2024-01-10,App Install,NY,TikTok_App Install_NY,8102,80,1036.41,2554.85
2024-01-11,Search,CA,TikTok_Search_CA,23939,291,1413.19,6617.17
2024-01-11,Search,NC,TikTok_Search_NC,7482,242,994.73,2456.72
2024-01-11,Display,CA,TikTok_Display_CA,26710,119,933.64,4803.38
2024-01-11,Display,NY,TikTok_Display_NY,12337,264,730.53,1462.48
2024-01-11,Display,TX,TikTok_Display_TX,17205,168,532.13,2344.93
2024-01-11,Display,IL,TikTok_Display_IL,4218,238,1247.6,3694.64
2024-01-11,Display,GA,TikTok_Display_GA,1812,211,1174.92,6562.13
2024-01-11,Display,NC,TikTok_Display_NC,10952,59,541.32,2338.06
2024-01-11,Video,TX,TikTok_Video_TX,5094,171,380.49,1459.07
2024-01-11,Video,FL,TikTok_Video_FL,19621,161,913.4,5288.09
2024-01-11,Video,IL,TikTok_Video_IL,13953,293,494.81,970.68
2024-01-11,Video,PA,TikTok_Video_PA,2287,220,1347.72,2484.99
2024-01-11,Video,NC,TikTok_Video_NC,6591,105,704.2,3672.38
2024-01-11,Video,MI,TikTok_Video_MI,24059,182,557.79,2886.11
2024-01-11,Shopping,NY,TikTok_Shopping_NY,1680,141,445.15,2558.94
2024-01-11,Discovery,FL,TikTok_Discovery_FL,25478,74,1463.18,8713.4
2024-01-11,Discovery,GA,TikTok_Discovery_GA,25275,9,1390.58,2659.7
2024-01-11,App Install,IL,TikTok_App Install_IL,1011,192,1012.94,4654.01
2024-01-11,App Install,NC,TikTok_App Install_NC,3181,164,841.37,3303.25
2024-01-12,Search,FL,TikTok_Search_FL,2442,158,1240.88,8435.71
2024-01-12,Search,GA,TikTok_Search_GA,15776,13,1470.1,6484.36
2024-01-12,Search,MI,TikTok_Search_MI,9847,172,710.97,1453.53
2024-01-12,Display,NY,TikTok_Display_NY,28028,19,711.46,1778.62
2024-01-12,Video,FL,TikTok_Video_FL,15705,121,784.74,1825.08
2024-01-12,Shopping,NY,TikTok_Shopping_NY,3949,16,445.29,2022.71
2024-01-12,Shopping,IL,TikTok_Shopping_IL,4953,223,1158.67,3823.32
2024-01-12,Shopping,PA,TikTok_Shopping_PA,27225,140,1385.82,7462.04
2024-01-12,Shopping,NC,TikTok_Shopping_NC,16052,193,904.18,5847.48
2024-01-12,Shopping,MI,TikTok_Shopping_MI,9373,143,385.79,2216.91
2024-01-12,Discovery,CA,TikTok_Discovery_CA,22868,84,550.53,2082.6
2024-01-12,Discovery,TX,TikTok_Discovery_TX,3495,174,338.68,852.78
2024-01-12,Discovery,PA,TikTok_Discovery_PA,4220,177,409.02,2091.03
2024-01-12,Discovery,NC,TikTok_Discovery_NC,8621,19,587.4,2550.33
2024-01-12,App Install,NY,TikTok_App Install_NY,2970,21,559.91,1382.24
2024-01-12,App Install,IL,TikTok_App Install_IL,8506,222,1182.74,4821.13
2024-01-12,App Install,GA,TikTok_App Install_GA,4553,74,494.47,1981.32
2024-01-12,App Install,MI,TikTok_App Install_MI,23942,165,1012.07,5090.82
2024-01-13,Search,TX,TikTok_Search_TX,11295,48,814.89,5072.93
2024-01-13,Search,NC,TikTok_Search_NC,2466,70,1088.16,5494.45
2024-01-13,Display,PA,TikTok_Display_PA,19936,73,316.43,1483.08
2024-01-13,Display,OH,TikTok_Display_OH,22443,266,112.27,322.49
2024-01-13,Video,CA,TikTok_Video_CA,16747,20,524.01,3466.61
2024-01-13,Video,MI,TikTok_Video_MI,9691,155,1370.74,5020.02
2024-01-13,Shopping,NC,TikTok_Shopping_NC,14746,223,445.0,923.34
2024-01-13,Shopping,MI,TikTok_Shopping_MI,13285,277,1314.47,8681.33
2024-01-13,Discovery,OH,TikTok_Discovery_OH,18931,121,1184.18,7153.63
2024-01-13,App Install,NY,TikTok_App Install_NY,8828,76,208.29,1334.48
2024-01-13,App Install,TX,TikTok_App Install_TX,24457,189,402.32,2769.74
2024-01-13,App Install,FL,TikTok_App Install_FL,19292,27,166.09,673.92
2024-01-13,App Install,GA,TikTok_App Install_GA,5196,134,719.04,2940.78
2024-01-13,App Install,MI,TikTok_App Install_MI,4575,58,1068.79,3572.52
2024-01-14,Search,TX,TikTok_Search_TX,22795,35,984.15,2954.36
2024-01-14,Display,NY,TikTok_Display_NY,8455,298,555.51,2980.59
2024-01-14,Video,GA,TikTok_Video_GA,29141,103,1096.7,4785.64
2024-01-14,Shopping,NY,TikTok_Shopping_NY,5253,59,807.75,2011.43
2024-01-14,Shopping,IL,TikTok_Shopping_IL,4738,111,609.38,3206.23
2024-01-14,Shopping,OH,TikTok_Shopping_OH,9569,143,1074.42,6216.09
2024-01-14,Discovery,TX,TikTok_Discovery_TX,4522,198,370.17,819.24
2024-01-14,App Install,CA,TikTok_App Install_CA,12182,154,1028.38,3661.3
2024-01-14,App Install,NY,TikTok_App Install_NY,14262,74,680.26,4518.63
2024-01-14,App Install,IL,TikTok_App Install_IL,25141,112,497.97,1582.53
2024-01-14,App Install,PA,TikTok_App Install_PA,23943,238,314.48,1853.94
2024-01-15,Search,NY,TikTok_Search_NY,546,66,90.36,227.48
2024-01-15,Search,IL,TikTok_Search_IL,13127,133,1432.03,7767.2
2024-01-15,Display,TX,TikTok_Display_TX,12168,248,395.48,2705.83
2024-01-15,Display,FL,TikTok_Display_FL,15349,295,852.37,1824.54
2024-01-15,Display,IL,TikTok_Display_IL,20904,295,1482.57,3067.51
2024-01-15,Display,PA,TikTok_Display_PA,7962,244,690.46,4221.42
2024-01-15,Display,OH,TikTok_Display_OH,9516,248,1483.69,9530.12
2024-01-15,Video,CA,TikTok_Video_CA,12726,86,1036.01,4309.94
2024-01-15,Video,GA,TikTok_Video_GA,21969,246,251.59,488.87
2024-01-15,Video,MI,TikTok_Video_MI,9651,67,798.0,4943.91
2024-01-15,Shopping,NY,TikTok_Shopping_NY,4805,170,868.25,5050.25
2024-01-15,Shopping,TX,TikTok_Shopping_TX,29783,172,1221.72,7960.76
2024-01-15,Shopping,OH,TikTok_Shopping_OH,5983,233,1190.65,2326.17
2024-01-15,Shopping,GA,TikTok_Shopping_GA,14719,287,802.89,1681.87
2024-01-15,Discovery,NY,TikTok_Discovery_NY,9664,11,278.87,1655.25
2024-01-15,Discovery,TX,TikTok_Discovery_TX,18399,17,99.21,443.34
2024-01-15,App Install,FL,TikTok_App Install_FL,14843,27,466.11,2847.95
2024-01-15,App Install,IL,TikTok_App Install_IL,13389,205,636.08,2108.36
